25,14,29,10,26,6,31,23,27,7,3,9,2,19,21,24,12,30,32,22,16,17,4,20,28,8,1,5,13,11,18,15
7,13,22,18,21,10,5,31,26,8,24,11,23,16,9,17,2,32,1,20,4,14,6,25,12,27,15,28,19,29,3,30
19,15,3,32,18,27,17,23,26,11,10,7,5,8,21,30,28,24,25,9,2,12,6,29,4,14,1,22,13,20,16,31
27,8,14,13,10,25,5,19,9,20,26,31,30,22,2,7,29,11,15,1,6,28,4,32,18,16,12,23,21,17,24,3
17,19,8,9,29,18,7,32,6,12,26,5,13,30,3,20,11,31,2,27,14,22,16,10,15,28,25,4,24,23,21,1
19,3,25,5,10,23,7,28,31,22,1,16,24,14,30,12,17,32,6,18,9,13,26,15,27,8,20,21,4,11,2,29
12,26,31,3,17,8,7,13,22,2,6,5,10,15,23,18,32,19,1,27,14,28,25,9,4,29,30,20,11,21,16,24
13,1,7,30,11,27,23,5,18,26,22,2,6,31,16,25,20,15,21,24,14,8,12,29,3,32,9,17,19,10,4,28
28,6,32,30,16,5,26,27,25,4,12,3,13,20,24,15,17,9,7,2,14,10,11,8,31,22,19,18,23,21,1,29
11,18,10,6,17,22,32,3,29,30,16,31,15,20,21,7,23,27,1,26,12,25,4,2,28,5,13,8,19,24,9,14
16,23,6,2,4,21,8,19,3,10,9,30,17,20,25,18,7,22,26,15,5,29,14,28,11,1,32,31,13,24,27,12
18,15,11,13,16,1,31,9,27,3,12,14,2,20,6,26,19,7,29,28,24,25,23,8,5,32,21,10,22,17,30,4
3,23,2,18,5,8,24,14,31,28,9,12,10,22,21,15,16,13,6,11,20,25,1,26,27,7,17,19,4,29,30,32
17,4,29,3,19,26,8,25,5,27,21,23,18,22,1,11,10,31,32,30,6,14,15,24,9,28,7,20,16,2,12,13
13,17,20,31,26,27,30,21,8,12,5,18,32,1,14,2,16,22,10,25,6,23,7,24,11,9,4,3,19,15,28,29
20,4,10,5,16,25,2,1,3,11,22,29,21,18,19,8,17,24,31,30,23,32,28,14,12,27,13,6,7,26,15,9
22,12,15,11,23,13,6,20,29,32,25,5,14,10,24,1,18,4,3,19,2,31,27,8,16,28,7,21,26,17,30,9
14,12,17,15,3,18,1,13,2,22,26,8,21,5,30,10,16,27,31,28,20,9,32,19,25,6,7,23,4,29,11,24
8,30,2,7,1,13,3,11,20,17,4,9,21,14,28,5,12,16,25,27,15,10,26,18,6,29,24,23,32,22,19,31
26,25,31,3,19,10,22,7,15,29,14,13,24,21,17,18,30,28,16,6,8,11,4,32,2,12,20,1,5,23,27,9
2,3,14,15,1,21,22,11,19,20,26,24,9,30,13,25,32,8,29,12,17,31,16,28,18,6,5,4,23,7,10,27
10,4,16,3,13,8,11,30,22,32,29,12,5,19,28,1,18,6,17,15,7,24,20,27,23,26,25,14,21,9,2,31
6,22,15,8,7,12,4,23,3,20,17,25,9,30,5,27,29,28,31,14,19,21,2,16,18,13,26,1,32,24,11,10
28,12,9,30,24,4,22,5,27,23,16,8,13,14,21,18,32,17,1,7,25,15,29,11,19,3,10,20,26,31,6,2
24,27,6,9,25,3,16,15,22,10,12,19,18,7,5,8,30,11,29,1,4,31,21,28,26,23,20,17,32,13,14,2
32,14,17,24,3,19,11,1,30,5,21,13,4,8,28,31,15,12,20,10,26,18,27,2,23,25,22,16,6,9,7,29
29,15,22,23,10,11,2,27,17,9,12,1,30,21,20,8,28,19,6,3,14,16,32,24,18,26,7,31,4,5,13,25
18,32,21,27,17,24,15,26,10,19,4,14,13,25,11,29,12,2,8,31,6,16,3,23,1,7,30,9,20,22,5,28
26,17,19,14,6,28,18,4,27,23,22,2,32,30,31,25,11,7,5,12,13,20,1,8,15,16,9,29,10,21,24,3
26,29,22,23,16,25,27,7,11,9,19,17,2,24,5,4,10,28,14,32,12,18,6,8,21,31,30,13,20,1,15,3
26,3,7,1,21,29,8,30,16,25,19,20,10,9,17,18,14,5,6,2,12,4,27,22,11,24,13,23,15,31,32,28
30,10,2,21,6,3,16,28,11,31,13,8,4,19,7,23,15,18,22,32,14,12,24,17,1,29,26,5,25,20,9,27
14,8,18,31,21,10,24,13,11,17,30,4,3,28,5,12,6,15,19,9,25,20,1,23,29,26,32,22,16,7,27,2
32,8,16,25,20,13,26,18,15,6,10,4,29,19,9,12,2,30,23,27,11,31,5,21,7,22,24,14,17,28,1,3
25,3,8,24,14,15,30,23,20,12,18,28,9,13,6,26,22,7,19,2,27,21,29,16,11,17,32,10,5,4,1,31
